owner_id,asset_count,my_accepted_collection_name,suggested_collection_name,website,email
41809.08,3902,Arundale Castle,,http://www.arundelcastle.org,info@arundelcastle.org
11824.88,2063,Wellbeck Estate,,,gareth.hughes@welbeck.co.uk
11647.3,1500,Unknown,,,mike.chantler@farrer.co.uk
5782.9,1215,Devon Record Office,,http://www.devon.gov.uk,devrec@devon.gov.uk
38300.62,1099,Althorp Estate,,http://www.spencerofalthorp.com,mail@althorp.com
248234.9,900,Corsham Court,,http://www.corsham-court.co.uk,staterooms@corsham-court.co.uk
64638.98,772,Unknown,,,
42093,759,Unknown,,,
19005.14,725,Unknown,,http://www.heritageopendays.org.uk,
57668.96,573,Unknown,,,
10140.14,544,Corehouse,,,dcranstoun@corehouse.wanadoo.co.uk
21249.16,542,Knowsley Estate,,http://www.knowsley.com,
9229.7,524,Unknown,,,
45777.58,503,Ilchester estates,,http://www.heritageopendays.org.uk,
728767.5,495,Madresfield Estate,,http://https://www.madresfieldestate.co.uk,office@madresfieldestate.co.uk
69896.64,479,Ashridge House,,http://www.ashridgehouse.org.uk,pallerston@nationalgalleries.org
38529.38,471,Unknown,,,
35421.66,456,,,http://www.nationalgallery.org.uk/longford-castle,information@ng-london.org.uk
48078.71,434,Althorp Estate,,http://www.spencerofalthorp.com,mail@althorp.com
15432.8,422,Holkham,,,enquiries@holkham.co.uk
25488.34,420,Mount Suart,,http://www.mountstuart.com,collections@mountstuart.com
12716.34,402,,LORD DOURO'S SECRETARY,,
55085.33,394,Houghton Hall,,http://www.houghtonhall.com,
109362.1,371,Waddesdon,,http://www.waddesdon.org.uk,A.Austen@jrsl.co.uk
80260.73,365,,,http://www.heritageopendays.org.uk,jr@hunters-solicitors.co.uk
48247.04,313,,,http://www.londonopenhouse.org,
45534.96,309,,EDWARDS & KEEPING,http://www.heritageopendays.org.uk,
51703.29,290,,HOUSE MANAGER,,burghley@burghley.co.uk
238047.4,285,,,,
46813.62,260,Newburgh Priory,,http://www.newburghpriory.co.uk,
240950.3,258,Civic Trust for Wales,,http://www.civictrustwales.org,michael.fletcher@1thesanctuary.com
8594.16,228,Unknown,HASLAM & WHITEWAY,http://www.haslamandwhiteway.com,
1042311,224,Madresfield Estate,,http://https://www.madresfieldestate.co.uk,office@madresfieldestate.co.uk
108783.7,210,Hatfield House,,http://www.hatfield-house.co.uk,visitors@hatfield-house.co.uk
19600.64,195,,,,j.curtis@pglaw.co.uk
187644.3,179,Knowsley Estate,,http://www.knowsley.com,
723602,176,Madresfield Estate,,http://https://www.madresfieldestate.co.uk,office@madresfieldestate.co.uk
101124.1,174,,Londonderry Administrative Services,,lonadmser@aol.com
41188.76,171,HITCHCOCK HOUSE,,,jmanners@fitzwilliam.info
43709.48,171,WALDEGRAVE ESTATES,,http://www.heritageopendays.org.uk,waldegrave.estates@gmail.com
54704.35,170,,ANDERSONS NORTHERN,,bkellagher@andersonsnorthern.co.uk
361242.5,169,,LOWTHER,,anne.forrester@lowther.co.uk
12833.2,167,,,,
19953.12,161,,MR M A MACDONALD,,
62404.57,158,Broadland Estate,,http://www.broadlandsestates.co.uk,admin@broadlands.net
114113.8,158,Cottesbrooke,,http://www.cottesbrooke.co.uk/,edward.perks@curreyandco.co.uk
16538.2,157,Fitzwilliam Museum,,,
105532.3,150,,,http://www.henry-moore.org,douglas.smith@footanstey.com
38196,149,,,http://www.heritageopendays.org.uk,
19553.96,148,Firle,,http://www.firle.com,
22000.16,129,,,http://www.heritageopendays.org.uk,
535128.9,121,,PENNINGTONS,,
35068.82,120,,CLARKE & SIMPSON,http://www.heritageopendays.org.uk,
18671.7,118,Weston Park,,http://www.weston-park.com,enquiries@weston-park.com
19001.4,116,,CRIPPS HARRIES HALL,,
